Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-9-5p	727754	7593	3034	1596985	8681	1777327	4130	7794	3791994	873846	3507133	4303313	1763223	934619	3151
miR-26a-5p	1063909	1042215	329733	1198750	925069	1303240	446064	806424	1407621	1059499	1314818	1457324	1271403	1109415	420399
miR-122-5p	430587	1530	2805441	498521	1920	522870	4007727	1766	1910	597705	1378	2094	615889	730320	3068417
miR-143-3p	805164	1616908	163770	550040	1595031	621381	207097	1272171	169895	1018296	154018	189335	611286	1024815	177692
miR-21-5p	629137	1055288	631748	437612	1247737	493819	654348	997154	84200	785210	74100	89397	490424	792141	596538
let-7a-5p	434399	324506	188236	569531	301285	622533	255258	256664	704559	459070	697421	784061	609253	465929	226230
miR-516b-5p	544772	1179722	857	322569	1124416	374534	1016	810092	1034	712414	933	1259	400335	782689	897
miR-128-3p	187006	6139	11430	519958	6063	588018	16132	4722	1294253	216392	1166558	1375232	602903	229775	13605
miR-99a-5p	195178	52625	270277	385911	55405	434395	320846	44574	806266	217503	703678	870082	441512	231264	281093
miR-181a-5p	332896	270239	16408	404284	272486	443351	17903	231945	742141	303701	722819	723200	422027	324123	15385
miR-126-3p	379281	587956	241010	256442	714774	284117	229189	604357	144895	399825	132466	152762	289247	443752	197392
miR-100-5p	283208	405247	102737	324695	454986	358929	121891	351021	365824	388477	344463	436860	372025	423234	92980
let-7f-5p	269605	143102	217250	399028	131221	441819	294890	109707	471962	307751	455942	540566	432840	304401	266105
miR-148a-3p	197815	120705	697852	213006	120330	249049	1017463	92000	13399	276354	12568	17034	264240	293195	796941
miR-27b-3p	312813	374194	229402	264620	398070	278266	229712	356500	230141	331374	217119	278561	272193	311416	211501
miR-24-3p	333477	528296	75796	187094	632714	213754	76870	549659	105111	309027	100423	112852	205400	328971	64356
