Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-3p	8	4	4	5	8	4	3	4	1	6	7	7	1	1	4
let-7a-5p	5117	1156	955	4169	3262	2083	826	1253	3571	4407	6890	7896	2392	1330	2327
let-7b-3p	9	2	3	5	7	2	2	2	6	6	8	10	3	1	5
let-7b-5p	1140	113	189	1127	313	627	148	109	1217	938	2207	2825	783	327	454
let-7c-5p	1253	139	194	1192	373	679	164	137	1314	1021	2361	3034	845	358	488
let-7d-3p	30	1	2	31	4	24	NA	1	46	25	58	72	24	12	5
let-7d-5p	69	11	11	93	31	36	10	10	111	59	208	231	52	20	30
let-7e-3p	2	NA	1	2	2	2	NA	NA	NA	2	4	4	2	NA	NA
let-7e-5p	3491	886	553	2865	2446	1357	448	936	2405	3045	4739	5471	1641	930	1288
let-7f-2-3p	2	1	1	5	1	NA	2	2	1	3	5	7	2	NA	3
let-7f-5p	1273	213	362	976	661	565	343	250	805	1066	1546	1717	524	306	943
let-7g-3p	1	1	NA	1	NA	NA	NA	NA	NA	1	6	3	2	1	1
let-7g-5p	910	169	180	844	551	448	157	204	689	815	1323	1389	401	234	429
let-7i-3p	5	1	1	3	3	3	NA	5	2	2	5	4	2	NA	NA
let-7i-5p	909	172	180	838	555	449	157	207	679	806	1304	1379	401	234	424
miR-100-3p	4	1	NA	2	5	2	NA	4	1	5	NA	1	NA	2	NA
miR-100-5p	1322	531	98	515	1177	239	66	302	237	1039	386	473	201	215	196
miR-101-3p	472	148	86	371	532	187	91	191	185	400	321	350	152	111	229
miR-101-5p	5	NA	NA	1	2	1	1	1	1	1	5	2	1	3	1
miR-103a-2-5p	1	1	NA	1	3	1	NA	NA	NA	1	NA	1	NA	NA	NA
miR-103a-3p	567	202	76	431	694	268	88	225	224	587	401	426	163	138	270
miR-105-5p	2	NA	NA	2	1	NA	NA	NA	3	1	1	1	1	NA	NA
miR-106a-5p	32	10	17	18	33	10	15	8	7	20	12	20	7	10	35
miR-106b-3p	13	9	1	10	20	9	1	9	4	16	7	5	5	6	1
miR-106b-5p	16	18	3	14	21	4	1	10	6	16	9	19	17	7	7
miR-107	567	202	76	431	694	267	88	225	224	587	401	426	163	137	270
miR-10a-3p	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1
miR-10a-5p	1829	844	514	556	3090	401	401	842	46	2064	61	39	303	427	2480
miR-10b-3p	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-10b-5p	1830	846	511	553	3100	402	392	845	44	2059	59	38	303	428	2457
miR-1180-3p	6	2	NA	8	1	3	NA	1	9	4	11	24	5	3	NA
miR-1185-1-3p	4	NA	NA	NA	2	NA	NA	NA	NA	2	1	NA	1	1	NA
miR-1185-2-3p	4	NA	NA	NA	2	NA	NA	NA	NA	2	1	NA	1	1	NA
miR-1185-5p	4	NA	NA	6	5	NA	NA	NA	2	1	2	6	1	NA	NA
miR-1197	1	1	NA	1	5	NA	1	2	NA	NA	NA	1	NA	NA	NA
miR-1207-5p	1	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	1	NA	NA
miR-122-3p	6	NA	12	4	NA	1	7	NA	NA	6	NA	NA	2	6	19
miR-122-5p	890	4	2220	696	2	383	1804	2	3	806	NA	3	532	289	7261
miR-1224-3p	1	NA	NA	3	NA	NA	NA	NA	5	NA	1	3	2	NA	NA
miR-1225-3p	10	NA	NA	13	NA	6	NA	NA	10	7	15	7	11	5	NA
miR-1225-5p	2	NA	NA	2	NA	NA	NA	NA	NA	2	4	3	2	1	NA
