Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-2-3p	NA	1	2	3	1	3	3	NA	2	2	17	5	5	24	2
let-7a-3p	243	448	178	355	331	488	185	540	337	364	1095	291	481	3166	223
let-7a-5p	90416	97440	39456	148000	65121	243822	47781	104989	257677	87572	732935	187140	230752	998107	50245
let-7b-3p	248	164	250	500	123	777	289	198	675	335	1935	545	800	3145	249
let-7b-5p	16321	6782	6107	34075	4784	56802	7276	7955	68941	17078	198753	51282	54386	188432	7550
let-7c-3p	8	5	12	11	1	24	9	3	23	10	37	7	17	107	20
let-7c-5p	10290	3898	6193	20121	2670	34350	7180	4131	38700	10074	108720	27994	32259	113296	7606
let-7d-3p	653	155	232	1549	118	2754	228	162	2953	779	8181	2070	2587	8425	232
let-7d-5p	2133	1035	1011	4227	659	7452	1326	1047	9537	2041	25796	6608	6848	23985	1361
let-7e-3p	68	72	11	114	37	186	7	75	210	71	538	147	156	691	13
let-7e-5p	9055	13273	1006	13182	9180	21851	1183	14186	22658	9020	64852	16389	20773	96546	1186
let-7f-1-3p	24	14	30	44	15	70	24	17	34	27	132	33	54	266	24
let-7f-2-3p	62	47	55	106	47	154	51	54	166	62	471	129	178	708	80
let-7f-5p	39957	31726	37254	64018	21186	100966	42691	33066	99972	37912	285696	69699	94717	407059	47502
let-7g-3p	30	18	11	51	7	92	15	12	69	24	195	60	67	282	22
let-7g-5p	13532	9055	11782	23799	5881	39388	14697	9473	45010	12758	127890	31463	35249	137318	15321
let-7i-3p	80	66	26	131	48	223	19	73	168	79	466	132	208	902	26
let-7i-5p	12519	12924	3514	17367	8630	27683	3616	13828	25010	12234	71593	18019	27182	127910	4210
miR-1-3p	23	51	3	36	32	52	9	51	44	32	138	45	48	323	6
miR-1-5p	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	2	NA
miR-100-3p	111	240	23	62	133	114	14	288	37	119	75	16	115	1024	24
miR-100-5p	9902	20254	2867	10174	12692	17618	3034	22215	10651	9911	29700	7945	15607	118064	3335
miR-101-3p	20263	26416	10012	23697	18007	39567	11408	27302	29202	17181	84469	21331	37111	203390	13539
miR-101-5p	98	120	25	113	85	172	19	150	145	64	450	122	175	1033	32
miR-103a-2-5p	10	10	3	5	6	9	NA	14	3	4	18	8	7	53	3
miR-103a-3p	15315	23420	8446	22647	15454	35558	9670	26767	28598	17310	87873	23150	33605	194687	9927
miR-103b	13702	19986	7132	20600	13243	32746	8022	22405	26868	15085	82370	21703	30741	171554	8236
miR-105-3p	1	2	NA	7	6	9	NA	5	6	2	16	3	4	37	NA
