Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-5p	10598	5815	2598	12144	7021	15039	2963	17495	19250	11158	16491	18933	12592	8322	3102
let-7b-5p	5255	1118	1070	7796	1350	9058	1174	3013	15896	4913	9980	12433	6925	3806	1004
let-7c	749	138	260	1146	151	1265	291	402	1858	736	1485	1601	799	513	239
let-7d-5p	553	154	156	864	185	941	192	383	1282	751	1426	1553	741	507	176
let-7e-5p	1370	948	110	1511	1026	1715	95	2558	2155	1461	1993	2364	1426	1094	109
let-7f-5p	121	59	79	153	68	209	64	144	194	282	428	438	271	191	186
let-7g-5p	3026	1125	1656	3942	1270	4770	1601	3318	4525	3354	5184	6094	4051	2452	1821
let-7i-5p	395	163	87	541	203	598	86	570	995	587	871	943	470	378	114
miR-1	34	45	25	51	46	29	21	91	22	48	38	40	28	41	28
miR-100-5p	956	1113	194	729	1492	677	184	2663	652	1252	836	1005	999	1225	225
miR-101-3p	27	17	18	18	19	17	18	46	28	17	17	26	27	22	14
miR-103a-3p	11	13	5	13	10	6	4	12	8	9	14	8	12	6	11
miR-105-5p	30	37	19	36	31	38	18	43	37	24	36	37	44	34	24
miR-106a-5p_miR-17-5p	320	270	230	209	262	272	196	711	153	269	133	121	211	191	182
miR-106b-5p	266	308	76	212	299	197	80	783	173	227	137	131	154	182	64
miR-107	271	152	208	402	128	481	158	410	327	495	793	907	630	426	240
miR-10a-5p	96	61	88	97	91	75	91	149	61	98	68	74	94	90	83
miR-10b-5p	20	27	11	24	32	11	15	60	8	25	10	6	16	14	12
miR-1178	27	19	18	35	27	26	24	43	15	21	16	12	12	13	11
miR-1179	13	10	14	11	4	11	10	7	12	15	15	13	12	9	14
miR-1180	107	21	9	151	26	160	13	36	305	117	261	369	185	111	20
miR-1181	14	6	12	7	13	10	7	10	9	14	11	12	10	7	13
miR-1182	7	7	8	13	7	4	11	5	7	4	10	8	11	8	7
miR-1183	79	61	106	115	92	91	86	75	74	97	101	118	134	88	103
miR-1184	13	7	2	8	5	4	8	7	5	8	6	9	7	5	5
miR-1185-5p	15	11	5	17	8	12	10	15	18	9	15	17	10	5	6
miR-1193	12	9	10	17	18	15	10	11	7	9	11	14	16	12	11
miR-1197	18	15	12	23	19	10	16	27	20	14	21	24	27	19	17
miR-1200	12	15	10	28	11	14	14	13	15	13	19	17	21	18	8
miR-1202	26	14	15	18	16	21	17	29	12	15	18	14	27	17	19
miR-1203	7	7	8	10	8	3	5	3	9	6	11	13	12	5	4
miR-1204	11	8	7	13	12	13	13	17	11	12	16	8	14	11	9
miR-1205	19	6	12	20	13	11	13	14	9	16	15	22	16	10	10
miR-1206	26	13	10	29	16	19	16	26	21	19	35	25	27	26	20
miR-1207-3p	10	7	7	12	7	10	8	11	10	14	13	13	8	7	12
miR-1208	18	22	21	23	21	24	15	15	17	16	15	12	15	19	22
miR-122-5p	6264	22	19103	6944	19	6309	21464	15	28	9088	291	21	7334	8044	26485
miR-1224-3p	3	5	3	13	4	6	9	5	7	6	5	7	3	6	4
miR-1224-5p	19	18	19	15	19	15	14	26	24	9	12	13	17	15	21
miR-1225-3p	7	8	4	8	11	12	14	12	7	6	13	13	13	5	8
miR-1225-5p	12	13	11	20	10	17	17	11	14	12	9	24	8	14	13
miR-1226-3p	16	15	14	22	16	10	15	15	15	21	29	35	24	15	11
miR-1227	2	3	1	5	5	3	2	3	4	2	4	4	6	5	4
miR-1228-3p	20	11	17	28	27	28	15	32	15	29	19	24	29	21	18
miR-1229	10	6	9	15	8	10	10	12	5	8	13	10	13	6	15
miR-1231	20	12	11	18	14	17	10	17	12	15	12	23	15	15	12
miR-1233	12	15	18	30	23	22	24	30	16	29	16	14	19	15	26
miR-1234	18	12	16	14	16	15	8	14	8	18	14	17	15	14	15
miR-1236	10	11	13	16	8	13	13	9	13	12	25	16	17	18	12
miR-1237	6	4	5	5	2	5	5	7	11	15	5	10	8	9	6
miR-1238	16	7	8	18	14	17	9	13	18	17	9	18	21	13	12
miR-124-3p	2901	14	13	5117	20	5030	17	20	8649	2447	6026	7408	3626	1916	19
miR-1243	12	16	6	16	11	9	2	16	14	14	22	15	11	9	8
miR-1244	16	13	22	35	16	21	12	18	17	16	20	12	16	16	14
miR-1245a	10	11	15	14	13	17	11	11	2	17	8	5	16	9	12
miR-1245b-3p	7	7	9	10	11	5	7	10	7	4	11	12	9	4	9
miR-1245b-5p	12	7	4	19	10	13	11	8	8	13	15	13	9	5	14
miR-1246	1	1	1	1	1	1	1	51	1	1	1	1	1	1	1
miR-1247-5p	39	53	12	27	57	27	15	81	11	59	24	19	38	60	21
miR-1248	8	10	14	18	18	13	7	11	18	15	18	11	22	11	18
miR-1249	8	7	6	17	12	17	9	9	19	13	19	27	23	17	11
miR-1250	11	9	10	15	2	10	7	15	12	14	6	14	15	5	14
miR-1251	14	9	8	12	9	12	10	8	8	15	21	15	15	13	12
miR-1252	16	21	17	21	24	32	23	19	17	26	24	21	19	20	14
miR-1253	1	1	1	1	1	1	1	1	41	1	1	1	1	1	1
miR-1254	15	8	10	17	12	17	12	19	16	16	12	14	12	10	18
miR-1255a	15	9	21	18	13	17	22	17	15	21	54	32	22	21	23
