Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-1265	6	7	1	7	8	4	5	6	6	14	1	4	6	8	4
miR-1266	9	7	6	8	19	9	1	6	6	10	4	4	15	7	5
miR-1267	9	9	4	6	9	5	9	5	8	2	6	4	9	8	4
miR-1268a	10	15	16	11	22	14	10	12	10	10	10	9	6	7	6
miR-1268b	4	7	4	9	15	2	4	8	6	13	7	5	4	6	1
miR-1269a	4	4	3	4	5	3	4	5	2	8	3	2	4	5	1
miR-1269b	5	12	4	5	13	6	4	6	3	6	2	3	7	5	1
miR-127-3p	622	460	38	754	328	510	40	397	1359	632	745	1022	646	605	33
miR-127-5p	14	11	6	13	7	8	6	12	17	14	10	13	20	18	5
miR-1270	8	11	12	12	11	15	12	9	6	15	10	7	13	16	10
miR-1271-5p	15	10	10	11	11	7	5	9	38	11	20	17	11	7	2
miR-1272	6	13	8	6	11	3	12	5	7	7	3	5	6	6	4
miR-1273a	9	5	1	8	6	12	5	9	6	8	4	21	1	7	6
miR-1273c	7	6	5	4	1	3	3	4	4	5	4	2	1	3	3
miR-1273d	4	10	1	7	5	6	7	6	7	7	2	5	6	2	1
miR-1273e	8	2	4	4	2	7	8	3	1	3	1	4	1	1	3
miR-1273f	1	2	4	2	2	4	3	6	3	4	2	6	5	3	5
miR-1273g-5p	6	6	3	5	7	4	5	4	3	1	2	3	5	2	2
miR-1275	10	11	4	9	14	12	9	13	14	17	7	12	3	15	4
miR-1276	8	5	7	9	9	7	2	9	6	7	4	18	1	4	9
miR-1277-3p	2	4	4	3	5	6	6	5	5	7	4	4	3	7	4
miR-1278	4	6	5	6	3	7	5	6	4	3	4	7	4	6	6
miR-1279	4	12	7	10	14	13	4	12	6	10	3	7	10	22	3
miR-128	396	12	13	690	17	223	24	11	1770	453	1455	1158	994	388	16
miR-1280	6	5	2	5	6	5	2	5	1	10	3	3	2	5	1
miR-1281	10	14	5	9	12	7	6	10	7	23	4	12	10	15	8
miR-1282	4	3	4	9	1	3	3	1	4	2	1	5	3	5	3
miR-1283	1	1096	1	1	384	1	1	922	1	1	1	1	267	1190	1
miR-1284	7	10	7	9	5	8	15	5	8	11	5	5	10	12	9
miR-1285-3p	1	5	4	10	11	1	5	4	2	11	1	2	4	1	7
miR-1286	7	8	7	12	5	3	5	4	10	7	12	5	10	10	7
miR-1287	14	8	8	16	13	8	13	8	18	11	15	17	15	15	8
miR-1288	6	12	11	8	3	10	4	7	11	5	1	2	9	8	3
