Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-2-3p	1	2	1	NA	NA	5	NA	NA	1	2	2	13	11	4	NA
let-7a-3p	244	95	289	307	433	351	69	110	215	466	185	625	532	425	70
let-7a-5p	94279	16688	82998	173289	91744	171756	24201	28040	219095	139285	187288	592965	290178	154520	19973
let-7b-3p	296	22	554	532	169	536	147	51	525	423	430	1711	858	501	115
let-7b-5p	17167	1243	11140	41760	6462	39394	3425	2003	59719	25256	49812	149240	65687	28910	2895
let-7c-3p	10	NA	42	13	5	13	8	1	4	10	10	34	20	17	1
let-7c-5p	11456	895	13352	26933	4183	25711	4082	1501	37008	16824	31815	94652	43133	19151	3262
let-7d-3p	800	35	479	1916	159	2127	116	40	2050	1074	1863	6391	3101	1242	118
let-7d-5p	1767	113	1763	4554	684	4500	495	209	6603	2588	5757	19045	7438	2950	445
let-7e-3p	79	18	17	126	67	128	4	25	153	98	121	426	204	118	2
let-7e-5p	9489	2484	2129	14917	12651	14888	868	4265	18464	13336	15453	50812	24891	14697	708
let-7f-1-3p	27	3	73	37	17	41	12	6	25	48	29	89	67	57	13
let-7f-2-3p	82	4	93	99	68	105	33	11	146	108	109	363	189	108	37
let-7f-5p	43481	6064	78264	80712	32568	79648	24006	9984	87905	63945	76760	235527	132739	70226	18844
let-7g-3p	16	NA	38	60	10	51	6	5	39	25	37	136	63	38	7
let-7g-5p	12580	1470	23759	25915	7758	25533	7082	2458	36392	17300	31395	98053	43469	19955	6069
let-7i-3p	72	10	84	171	88	134	11	19	149	106	143	436	269	167	5
let-7i-5p	14609	2536	7330	23493	13958	23348	2205	4390	23085	20962	20019	58974	38409	23662	1857
miR-1-3p	32	9	16	36	42	45	3	16	39	32	36	130	76	74	2
miR-1-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-100-3p	110	53	45	108	312	114	15	80	26	191	33	105	174	206	6
miR-100-5p	8766	3122	4814	10634	17447	10201	1280	5190	7694	14002	6626	22505	18197	15191	1084
miR-101-3p	20734	5305	24843	38458	27925	32032	7204	8541	27807	31178	26012	80675	51990	36922	5877
miR-101-5p	76	19	39	100	79	95	7	24	89	101	98	273	159	101	12
miR-103a-2-5p	1	NA	NA	4	5	4	1	3	3	8	10	6	8	5	1
miR-103a-3p	18694	4744	17120	26013	24903	27275	4659	7436	24390	28131	21392	69119	44213	31176	4247
miR-103b	16661	4038	14897	24208	21368	25158	3984	6305	23182	24926	20436	65948	40735	27947	3687
miR-105-3p	4	NA	NA	6	5	6	NA	NA	4	11	8	21	11	8	NA
miR-105-5p	13	1	NA	24	9	20	NA	3	34	21	36	78	38	16	NA
miR-106a-3p	NA	NA	NA	2	4	NA	NA	2	NA	NA	NA	2	4	1	NA
miR-106a-5p	26	9	13	34	48	29	NA	16	34	40	27	101	74	47	2
miR-106b-3p	459	132	289	586	849	527	82	220	396	610	320	1051	901	744	62
miR-106b-5p	406	162	241	427	833	397	75	244	211	579	215	684	658	669	50
miR-107	2796	542	3333	5431	2987	4955	866	822	4673	4120	4346	13815	8369	4976	733
miR-10a-3p	10	4	65	8	15	14	23	7	NA	22	2	1	33	37	18
miR-10a-5p	34979	11395	132720	28448	46391	33862	42319	16279	1657	64608	1264	4332	59474	57148	33548
miR-10b-3p	2	NA	NA	2	10	6	1	1	NA	5	1	NA	12	6	NA
miR-10b-5p	47469	31984	8365	26602	126406	33353	2866	43416	3478	86518	2690	9143	52260	74905	2161
miR-1178-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1179	5	1	1	30	2	13	1	NA	31	8	25	76	38	18	NA
miR-1180-3p	131	7	18	466	30	372	6	8	657	197	611	1679	671	226	7
miR-1180-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
miR-1185-1-3p	42	21	6	38	90	39	5	26	15	75	10	41	54	68	NA
miR-1185-2-3p	11	8	4	7	13	8	3	7	2	16	1	10	10	13	NA
miR-1185-5p	43	15	3	98	66	87	NA	14	149	62	161	484	173	84	NA
miR-1193	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
miR-1197	43	17	4	59	92	49	3	27	55	75	51	149	108	77	NA
miR-122-3p	144	NA	2014	257	NA	285	657	NA	NA	225	NA	NA	394	285	479
miR-122-5p	23203	NA	382876	47005	20	48757	121100	2	12	34951	10	50	79959	37179	90018
miR-1224-3p	12	NA	NA	28	NA	35	NA	NA	30	12	33	74	36	13	NA
miR-1224-5p	40	NA	NA	122	NA	113	NA	NA	101	66	97	278	176	81	NA
miR-1225-3p	NA	NA	NA	6	NA	3	NA	NA	7	5	1	7	1	2	NA
miR-1225-5p	4	NA	NA	2	NA	1	NA	NA	NA	1	2	12	2	1	NA
miR-1226-3p	16	1	2	27	5	19	NA	4	24	22	22	62	36	20	2
miR-1226-5p	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	2	2	4	NA
miR-1227-3p	6	NA	NA	4	5	1	NA	NA	5	3	1	17	12	2	1
miR-1228-3p	4	1	4	3	1	7	1	NA	4	6	NA	7	3	1	NA
miR-1228-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	2	NA	NA
miR-1229-3p	5	NA	NA	12	3	23	NA	NA	31	7	20	88	23	10	2
miR-1229-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1231	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	2	NA
miR-1233-3p	1	NA	2	2	2	NA	NA	NA	1	NA	1	4	1	1	1
miR-1234-3p	NA	NA	NA	NA	2	1	NA	NA	2	NA	1	4	1	3	NA
miR-1236-3p	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	2	1	NA
miR-1236-5p	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA
miR-1237-3p	1	NA	1	7	8	10	1	NA	6	7	6	25	8	4	NA
miR-1237-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-1238-3p	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA
miR-124-3p	7337	NA	2	22160	NA	18938	NA	NA	23935	12008	23058	72903	32947	14649	1
miR-124-5p	24	NA	NA	76	NA	72	NA	NA	76	39	86	265	161	56	NA
miR-1243	6	NA	NA	4	1	6	NA	NA	5	5	7	23	5	6	NA
miR-1244	NA	NA	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-1245a	2	NA	1	1	NA	2	NA	NA	NA	1	NA	NA	1	2	NA
miR-1245b-3p	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA
miR-1245b-5p	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-1246	275	64	260	358	285	424	68	105	379	431	289	993	665	307	66
miR-1247-3p	51	33	7	43	153	30	2	36	NA	83	1	4	54	104	NA
miR-1247-5p	384	137	131	354	924	347	27	176	49	618	52	107	604	712	20
miR-1248	1	2	4	3	3	2	1	NA	4	NA	2	9	5	3	NA
miR-1249-3p	126	3	11	297	26	338	4	2	290	213	245	758	448	190	1
miR-1249-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
miR-1250-5p	3	NA	NA	7	NA	8	NA	1	6	2	8	26	12	10	NA
miR-1251-3p	NA	NA	NA	NA	NA	2	NA	NA	1	1	NA	1	NA	NA	NA
miR-1251-5p	3	NA	NA	16	3	17	NA	NA	20	19	23	49	38	16	NA
miR-1252-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1252-5p	7	NA	NA	6	1	6	NA	NA	16	4	12	36	15	10	NA
miR-1253	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA
miR-1254	3	NA	1	NA	1	4	NA	NA	2	1	1	4	4	3	NA
miR-1255a	2	2	1	3	3	1	3	2	NA	2	1	3	9	4	1
miR-1255b-5p	NA	1	NA	NA	3	2	NA	NA	NA	3	NA	NA	1	2	NA
miR-1256	NA	NA	NA	NA	1	1	NA	NA	2	3	NA	3	NA	1	NA
miR-1258	4	NA	1	6	NA	4	2	NA	8	2	4	19	12	8	NA
miR-125a-3p	61	32	17	77	152	92	2	41	61	95	46	143	131	139	1
miR-125a-5p	27250	6735	7116	36682	33819	41387	2112	10385	50638	40632	39347	127488	71639	41902	1709
miR-125b-1-3p	135	20	55	253	157	298	10	36	278	230	243	772	507	254	10
miR-125b-2-3p	2359	106	3224	5778	445	5818	911	162	7240	3675	6325	20909	9902	4093	782
miR-125b-5p	8946	1141	5918	16191	5507	17948	1658	1760	25982	12720	20065	66620	30161	13574	1328
miR-126-3p	24584	11955	11209	18594	64108	17955	2913	18801	3281	38684	2776	9431	30581	40687	2538
miR-126-5p	25828	9948	31568	29462	53312	26809	8160	15165	11689	41018	10930	35860	48208	47654	7734
miR-1260a	197	41	998	319	288	197	196	70	59	219	61	151	358	309	181
miR-1260b	191	39	1008	307	298	185	201	71	42	228	44	122	341	306	184
miR-1261	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA
