Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-2-3p	4	2	4	1	4	4	4	8	3	3	8	10	25	5	NA
let-7a-3p	207	987	354	157	1066	304	517	3005	333	692	643	831	1328	715	90
let-7a-5p	78915	195676	107085	90247	194728	144999	165836	761606	279551	243070	501230	529379	708133	296064	27668
let-7b-3p	227	301	641	259	387	379	960	1250	669	655	1274	1699	2349	764	140
let-7b-5p	16879	15603	17936	23561	15863	38203	28648	61372	90504	50549	167305	171281	192285	65417	4789
let-7c-3p	8	22	47	10	14	12	61	34	27	21	40	34	91	29	13
let-7c-5p	10108	9112	18162	14620	7972	22685	28727	33309	47039	31531	84745	88014	113330	41394	4854
let-7d-3p	630	321	583	934	291	1621	821	1456	2980	1793	6197	6238	8860	2491	120
let-7d-5p	2049	2526	3360	3271	2397	4999	5403	9161	11470	6456	19821	22337	25465	8004	841
let-7e-3p	49	131	28	65	147	137	46	521	215	191	354	480	675	224	7
let-7e-5p	7999	28017	2898	8429	26316	13144	4448	103990	24781	24398	45532	47389	65541	29729	769
let-7f-1-3p	23	23	52	16	36	32	82	154	36	59	68	59	157	87	8
let-7f-2-3p	52	95	124	63	82	92	271	368	150	184	316	435	515	199	38
let-7f-5p	37672	67010	114621	44307	62105	69659	181243	245769	116880	114005	214706	220390	331241	135317	28547
let-7g-3p	20	17	37	27	25	39	48	89	60	69	128	149	221	76	9
let-7g-5p	11327	16475	35688	16028	17067	25662	57255	67140	55782	34950	96661	103323	120407	41659	9609
let-7i-3p	65	141	72	75	148	96	112	649	179	168	310	339	708	232	19
let-7i-5p	11956	27796	11256	11746	26660	20454	17739	102182	31174	37389	60328	60919	99387	44915	2915
miR-1-3p	21	84	15	20	125	43	24	450	49	75	113	113	185	88	1
miR-1-5p	1	NA	NA	NA	2	1	NA	6	NA	NA	NA	NA	3	NA	NA
miR-100-3p	67	497	58	41	492	83	88	1866	24	273	62	71	393	292	10
miR-100-5p	8558	36997	7761	5985	41211	9769	9799	153851	10908	23865	19412	23895	51780	32320	1690
miR-101-3p	17874	50955	34714	16579	57891	25103	58411	240686	36736	54259	63104	76691	155503	71483	8829
miR-101-5p	83	230	86	82	282	139	114	1013	220	228	350	437	787	316	23
miR-103a-2-5p	2	25	2	3	26	5	6	63	3	12	11	17	22	14	NA
miR-103a-3p	14764	53207	24095	13775	50771	25393	42342	192784	34207	48766	66644	80521	122152	57480	5909
miR-103b	13150	43888	20589	12719	42653	23144	36295	168111	32425	43009	62630	75370	113148	51816	5028
miR-105-3p	3	7	NA	4	12	6	NA	39	7	11	19	15	32	15	NA
miR-105-5p	11	37	NA	26	49	31	NA	182	36	49	95	106	161	52	NA
miR-106a-3p	1	6	NA	2	8	1	NA	17	NA	2	1	2	9	6	NA
miR-106a-5p	50	160	60	26	123	61	35	437	70	97	133	133	202	126	18
miR-106b-3p	403	1678	440	307	1819	437	795	7960	590	1246	920	1208	2917	1861	113
miR-106b-5p	438	1897	505	335	2301	458	823	10879	372	1238	641	757	2600	1869	119
miR-107	2526	5441	5104	3047	5818	4590	9326	31247	6869	7667	12008	14493	27074	11003	1215
miR-10a-3p	13	30	88	3	45	9	173	148	NA	35	NA	NA	73	50	33
miR-10a-5p	26056	113918	160601	13648	98939	29876	243986	270460	1991	85821	4575	5875	110411	79452	43446
miR-10b-3p	NA	22	2	1	22	1	2	86	NA	8	NA	NA	11	18	1
